Ref,Val,Package,PosX,PosY,Rot,Side
"C150","1uF","C_0603_1608Metric",194.450000,-107.275000,-90.000000,bottom
"C151","1uF","C_0603_1608Metric",198.450000,-107.275000,-90.000000,bottom
"C152","1uF","C_0603_1608Metric",202.450000,-107.275000,-90.000000,bottom
"C153","1uF","C_0603_1608Metric",206.450000,-107.275000,-90.000000,bottom
"C154","1uF","C_0603_1608Metric",210.450000,-107.275000,-90.000000,bottom
"C155","1uF","C_0603_1608Metric",214.450000,-107.275000,-90.000000,bottom
"C156","1uF","C_0603_1608Metric",218.450000,-107.275000,-90.000000,bottom
"C157","1uF","C_0603_1608Metric",222.450000,-107.275000,-90.000000,bottom
"C158","1uF","C_0603_1608Metric",226.450000,-107.275000,-90.000000,bottom
"C159","1uF","C_0603_1608Metric",230.450000,-107.275000,-90.000000,bottom
"C160","1uF","C_0603_1608Metric",234.450000,-107.275000,-90.000000,bottom
"C161","1uF","C_0603_1608Metric",238.450000,-107.275000,-90.000000,bottom
"C162","1uF","C_0603_1608Metric",242.450000,-107.275000,-90.000000,bottom
"C163","1uF","C_0603_1608Metric",246.450000,-107.275000,-90.000000,bottom
"C164","1uF","C_0603_1608Metric",250.450000,-107.275000,-90.000000,bottom
"C165","1uF","C_0603_1608Metric",254.450000,-107.275000,-90.000000,bottom
"C166","1uF","C_0603_1608Metric",258.450000,-107.275000,-90.000000,bottom
"C167","1uF","C_0603_1608Metric",262.450000,-107.275000,-90.000000,bottom
"C168","1uF","C_0603_1608Metric",266.450000,-107.275000,-90.000000,bottom
"C169","1uF","C_0603_1608Metric",270.450000,-107.275000,-90.000000,bottom
"C170","1uF","C_0603_1608Metric",274.450000,-107.275000,-90.000000,bottom
"C171","1uF","C_0603_1608Metric",278.450000,-107.275000,-90.000000,bottom
"C172","1uF","C_0603_1608Metric",282.450000,-107.275000,-90.000000,bottom
"C173","1uF","C_0603_1608Metric",286.450000,-107.275000,-90.000000,bottom
"C174","1uF","C_0603_1608Metric",290.450000,-107.275000,-90.000000,bottom
"C175","1uF","C_0603_1608Metric",294.450000,-107.275000,-90.000000,bottom
"C176","1uF","C_0603_1608Metric",298.450000,-107.275000,-90.000000,bottom
"C177","1uF","C_0603_1608Metric",302.450000,-107.275000,-90.000000,bottom
"C178","1uF","C_0603_1608Metric",306.450000,-107.275000,-90.000000,bottom
"C179","1uF","C_0603_1608Metric",310.450000,-107.275000,-90.000000,bottom
"C180","1uF","C_0603_1608Metric",314.450000,-107.275000,-90.000000,bottom
"C181","1uF","C_0603_1608Metric",318.450000,-107.275000,-90.000000,bottom
"C182","1uF","C_0603_1608Metric",322.450000,-107.275000,-90.000000,bottom
"C183","1uF","C_0603_1608Metric",326.450000,-107.275000,-90.000000,bottom
"C184","1uF","C_0603_1608Metric",330.450000,-107.275000,-90.000000,bottom
"C185","1uF","C_0603_1608Metric",334.450000,-107.275000,-90.000000,bottom
"C186","1uF","C_0603_1608Metric",338.450000,-107.275000,-90.000000,bottom
"C187","1uF","C_0603_1608Metric",342.450000,-107.275000,-90.000000,bottom
"C188","1uF","C_0603_1608Metric",346.450000,-107.275000,-90.000000,bottom
"C189","1uF","C_0603_1608Metric",350.450000,-107.275000,-90.000000,bottom
"C190","1uF","C_0603_1608Metric",354.450000,-107.275000,-90.000000,bottom
"C191","1uF","C_0603_1608Metric",358.450000,-107.275000,-90.000000,bottom
"C192","1uF","C_0603_1608Metric",362.450000,-107.275000,-90.000000,bottom
"C193","1uF","C_0603_1608Metric",366.450000,-107.275000,-90.000000,bottom
"C194","1uF","C_0603_1608Metric",370.450000,-107.275000,-90.000000,bottom
"C195","1uF","C_0603_1608Metric",374.450000,-107.275000,-90.000000,bottom
"C196","1uF","C_0603_1608Metric",378.450000,-107.275000,-90.000000,bottom
"C197","1uF","C_0603_1608Metric",382.450000,-107.275000,-90.000000,bottom
"C198","1uF","C_0603_1608Metric",386.450000,-107.275000,-90.000000,bottom
"C199","1uF","C_0603_1608Metric",390.450000,-107.275000,-90.000000,bottom
"C200","1uF","C_0603_1608Metric",394.450000,-107.275000,-90.000000,bottom
"C201","1uF","C_0603_1608Metric",398.450000,-107.275000,-90.000000,bottom
"C202","1uF","C_0603_1608Metric",402.450000,-107.275000,-90.000000,bottom
"C203","1uF","C_0603_1608Metric",406.450000,-107.275000,-90.000000,bottom
"C204","1uF","C_0603_1608Metric",410.450000,-107.275000,-90.000000,bottom
"C205","1uF","C_0603_1608Metric",414.450000,-107.275000,-90.000000,bottom
"C206","1uF","C_0603_1608Metric",418.450000,-107.275000,-90.000000,bottom
"C207","1uF","C_0603_1608Metric",422.450000,-107.275000,-90.000000,bottom
"C208","1uF","C_0603_1608Metric",426.450000,-107.275000,-90.000000,bottom
"C209","1uF","C_0603_1608Metric",430.450000,-107.275000,-90.000000,bottom
"C210","1uF","C_0603_1608Metric",434.450000,-107.275000,-90.000000,bottom
"C211","1uF","C_0603_1608Metric",158.450000,-111.275000,-90.000000,bottom
"C212","1uF","C_0603_1608Metric",162.450000,-111.275000,-90.000000,bottom
"C213","1uF","C_0603_1608Metric",166.450000,-111.275000,-90.000000,bottom
"C214","1uF","C_0603_1608Metric",170.450000,-111.275000,-90.000000,bottom
"C215","1uF","C_0603_1608Metric",174.450000,-111.275000,-90.000000,bottom
"C216","1uF","C_0603_1608Metric",178.450000,-111.275000,-90.000000,bottom
"C217","1uF","C_0603_1608Metric",182.450000,-111.275000,-90.000000,bottom
"C218","1uF","C_0603_1608Metric",186.450000,-111.275000,-90.000000,bottom
"C219","1uF","C_0603_1608Metric",190.450000,-111.275000,-90.000000,bottom
"C220","1uF","C_0603_1608Metric",194.450000,-111.275000,-90.000000,bottom
"C221","1uF","C_0603_1608Metric",198.450000,-111.275000,-90.000000,bottom
"C222","1uF","C_0603_1608Metric",202.450000,-111.275000,-90.000000,bottom
"C223","1uF","C_0603_1608Metric",206.450000,-111.275000,-90.000000,bottom
"C224","1uF","C_0603_1608Metric",210.450000,-111.275000,-90.000000,bottom
"C225","1uF","C_0603_1608Metric",214.450000,-111.275000,-90.000000,bottom
"C226","1uF","C_0603_1608Metric",218.450000,-111.275000,-90.000000,bottom
"C227","1uF","C_0603_1608Metric",222.450000,-111.275000,-90.000000,bottom
"C228","1uF","C_0603_1608Metric",226.450000,-111.275000,-90.000000,bottom
"C229","1uF","C_0603_1608Metric",230.450000,-111.275000,-90.000000,bottom
"C230","1uF","C_0603_1608Metric",234.450000,-111.275000,-90.000000,bottom
"C231","1uF","C_0603_1608Metric",238.450000,-111.275000,-90.000000,bottom
"C232","1uF","C_0603_1608Metric",242.450000,-111.275000,-90.000000,bottom
"C233","1uF","C_0603_1608Metric",246.450000,-111.275000,-90.000000,bottom
"C234","1uF","C_0603_1608Metric",250.450000,-111.275000,-90.000000,bottom
"C235","1uF","C_0603_1608Metric",254.450000,-111.275000,-90.000000,bottom
"C236","1uF","C_0603_1608Metric",258.450000,-111.275000,-90.000000,bottom
"C237","1uF","C_0603_1608Metric",262.450000,-111.275000,-90.000000,bottom
"C238","1uF","C_0603_1608Metric",266.450000,-111.275000,-90.000000,bottom
"C239","1uF","C_0603_1608Metric",270.450000,-111.275000,-90.000000,bottom
"C240","1uF","C_0603_1608Metric",274.450000,-111.275000,-90.000000,bottom
"C241","1uF","C_0603_1608Metric",278.450000,-111.275000,-90.000000,bottom
"C242","1uF","C_0603_1608Metric",282.450000,-111.275000,-90.000000,bottom
"C243","1uF","C_0603_1608Metric",286.450000,-111.275000,-90.000000,bottom
"C244","1uF","C_0603_1608Metric",290.450000,-111.275000,-90.000000,bottom
"C245","1uF","C_0603_1608Metric",294.450000,-111.275000,-90.000000,bottom
"C246","1uF","C_0603_1608Metric",298.450000,-111.275000,-90.000000,bottom
"C247","1uF","C_0603_1608Metric",302.450000,-111.275000,-90.000000,bottom
"C248","1uF","C_0603_1608Metric",306.450000,-111.275000,-90.000000,bottom
"C249","1uF","C_0603_1608Metric",310.450000,-111.275000,-90.000000,bottom
"C250","1uF","C_0603_1608Metric",314.450000,-111.275000,-90.000000,bottom
"C251","1uF","C_0603_1608Metric",318.450000,-111.275000,-90.000000,bottom
"C252","1uF","C_0603_1608Metric",322.450000,-111.275000,-90.000000,bottom
"C253","1uF","C_0603_1608Metric",326.450000,-111.275000,-90.000000,bottom
"C254","1uF","C_0603_1608Metric",330.450000,-111.275000,-90.000000,bottom
"C255","1uF","C_0603_1608Metric",334.450000,-111.275000,-90.000000,bottom
"C256","1uF","C_0603_1608Metric",338.450000,-111.275000,-90.000000,bottom
"C257","1uF","C_0603_1608Metric",342.450000,-111.275000,-90.000000,bottom
"C258","1uF","C_0603_1608Metric",346.450000,-111.275000,-90.000000,bottom
"C259","1uF","C_0603_1608Metric",350.450000,-111.275000,-90.000000,bottom
"C260","1uF","C_0603_1608Metric",354.450000,-111.275000,-90.000000,bottom
"C261","1uF","C_0603_1608Metric",358.450000,-111.275000,-90.000000,bottom
"C262","1uF","C_0603_1608Metric",362.450000,-111.275000,-90.000000,bottom
"C263","1uF","C_0603_1608Metric",366.450000,-111.275000,-90.000000,bottom
"C264","1uF","C_0603_1608Metric",370.450000,-111.275000,-90.000000,bottom
"C265","1uF","C_0603_1608Metric",374.450000,-111.275000,-90.000000,bottom
"C266","1uF","C_0603_1608Metric",378.450000,-111.275000,-90.000000,bottom
"C267","1uF","C_0603_1608Metric",382.450000,-111.275000,-90.000000,bottom
"C268","1uF","C_0603_1608Metric",386.450000,-111.275000,-90.000000,bottom
